"Funcion","Tipo","Script","Prueba","Resultado","Fecha y hora","Ambiente","Evidencia ","",""
"Tier 1 - Regresion Automation","Caso 1 ","Alta de Oportunidad","1 - Agregar el producto Pago a Proveedores","Pass","04.02.2025 17:03","UAT"," - -  ","",""
"Tier 1 - Regresion Automation","Caso 2","Alta de Oportunidad","2 - Agregar el producto Cuenta Recaudadora","Pass","04.02.2025 17:07","UAT"," - -  ","",""
"Tier 1 - Regresion Automation","Caso 3","Alta de Oportunidad","3 - Agregar el producto Debito Directo","Pass","04.02.2025 17:10","UAT"," - -  ","",""
"Tier 1 - Regresion Automation","Caso 4","Alta de Oportunidad","4 - Agregar el producto Pagos AFIP","Pass","04.02.2025 17:13","UAT"," - -  ","",""
"Tier 1 - Regresion Automation","Caso 5","Alta de Oportunidad","5 - Agregar el producto Fondos Comun de Inversion","Pass","04.02.2025 17:16","UAT"," - -  ","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
